name,pretty_name,group,count,total,avg,min,max
model.proj_in,Extra Proj In,Output Head / Extra Proj,11,0.022814558000391116,0.0020740507273082835,0.0010039819999292376,0.012359323999589833
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.1821164969860547,0.0005173764118922008,0.00033784999959607376,0.003738395000254968
attn.q_proj,Q Projection,Self-Attention,352,0.4952881180033728,0.0014070685170550364,0.0009480150001763832,0.01233417300045403
attn.k_proj,K Projection,Self-Attention,352,0.49762827999074943,0.0014137167045191745,0.0009664139997767052,0.009831626999584842
attn.v_proj,V Projection,Self-Attention,352,0.49380268799905025,0.0014028485454518473,0.0009704780004540225,0.005756277999353188
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,1.831839428994499,0.005204089286916191,0.00044764000085706357,0.646305086999746
attn.apply_causal_mask,Causal Mask,Self-Attention,352,1.6050961839846423,0.004559932340865461,0.0002991310002471437,0.05744892599977902
attn.softmax,Softmax,Self-Attention,352,2.9022533930092322,0.008245038048321683,0.00016326100012520328,0.7123800649997065
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,1.5281717480047519,0.004341397011377136,0.00042079299964825623,0.04861334399993211
attn.out_projection,Output Projection,Self-Attention,352,0.4500615069991909,0.0012785838267022468,0.000903599000594113,0.004964837000443367
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.18678999700296117,0.0005306534005765942,0.0003572089999579475,0.002325556999494438
ff.linear1,FFN Linear 1,Feed Forward Network,352,1.6565035300027375,0.004705975937507777,0.003003081000315433,0.023257492000084312
ff.gelu,GELU Activation,Feed Forward Network,352,0.11720722200789169,0.0003329750625224196,0.00016783699993538903,0.00245595499927731
ff.linear2,FFN Linear 2,Feed Forward Network,352,1.4870415570012483,0.004224549877844455,0.0029437860002872185,0.017077958000299986
model.proj_out,Extra Proj Out,Output Head / Extra Proj,11,0.01531959400017513,0.0013926903636522845,0.0009773259998837602,0.0050338920000285725
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.21078627499809954,0.019162388636190866,0.007379703999504272,0.1357448029993975
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.6474595689924172,0.0020233111531013036,0.0018964770006277831,0.002691470999707235
