name,pretty_name,count,total,avg,min,max
model.proj_in,Model Proj In,11,0.03122621201328002,0.00283874654666182,0.0004716840048786253,0.02545421099057421
block.norm1,LayerNorm (Pre-Attention),352,0.10248743958072737,0.00029115749880888456,0.00023457800853066146,0.0008579310087952763
attn.q_proj,Attn Q Proj,352,0.5025443237973377,0.0014276827380606185,0.0004308860225137323,0.021533396997256204
attn.k_proj,Attn K Proj,352,0.49307487678015605,0.0014007808999436252,0.0004433009889908135,0.009967994992621243
attn.v_proj,Attn V Proj,352,0.49311747032334097,0.0014009019043276733,0.00044522099778987467,0.009980378992622718
attn.matmul_qk,QKᵀ MatMul,352,0.32199964378378354,0.0009147717152948396,0.000373993010725826,0.006120872014435008
attn.apply_causal_mask,Causal Mask,352,0.2776530768314842,0.0007887871500894438,0.00028289499459788203,0.005699394008843228
attn.softmax,Softmax,352,0.12782022298779339,0.0003631256334880494,0.00015019899001345038,0.0024644559889566153
attn.weighted_sum,Attention Weighted Sum,352,0.22693002884625457,0.0006446875819495868,0.00022037100279703736,0.004518122994340956
attn.out_projection,Output Projection,352,0.4959995132521726,0.0014090895262845813,0.0004514599859248847,0.009983835014281794
block.norm2,LayerNorm (Pre-FFN),352,0.1072846869355999,0.0003047860424306815,0.0002523689763620496,0.0006940049934200943
ff.linear1,FFN Linear 1,352,1.725126228237059,0.004900926784764372,0.0011715450091287494,0.0521723449928686
ff.gelu,GELU Activation,352,0.08718616294208914,0.0002476879629036623,0.00015211899881251156,0.001330573984887451
ff.linear2,FFN Linear 2,352,2.9004380838305224,0.008239880919973075,0.0011146840115543455,0.0841809379926417
model.proj_out,Model Proj Out,11,0.015389689011499286,0.001399062637409026,0.00046006799675524235,0.009674706001533195
model.output_head,Output Head Projection,11,0.127270090917591,0.011570008265235547,0.0025789469946175814,0.0917120979866013
attn.cache_concat,KV Cache Concat,320,0.2176425270154141,0.000680132896923169,0.0004816350119654089,0.000941829988732934
