name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.12110519399902842,0.00034404884658814893,0.000212793999708083,0.00512167800025054
attn.q_proj,Q Projection,Self-Attention,352,0.7663308769961077,0.002177076355102579,0.0010915850007222616,0.20103353000013158
attn.k_proj,K Projection,Self-Attention,352,0.5816557529951751,0.0016524311164635658,0.001124800000070536,0.010875689999920723
attn.v_proj,V Projection,Self-Attention,352,0.8460922970025422,0.002403671298302677,0.0011439669997344026,0.013002637999306899
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.26585374298701936,0.0007552663153040322,0.0004289480002626078,0.022932306000257086
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.708390479992886,0.0020124729545252444,0.0004012039998997352,0.026998813999853155
attn.softmax,Softmax,Self-Attention,352,0.6036791240012462,0.001714997511367177,0.00017333899995719548,0.02354275199922995
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.19732824199491006,0.000560591596576449,0.0003291750008429517,0.0033108170000559767
attn.out_projection,Output Projection,Self-Attention,352,0.8262461769973015,0.0023472902755605155,0.0010489619999134447,0.012851665000198409
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.12219828899742424,0.0003471542301063189,0.0002760879997367738,0.0016823519999888958
ff.linear1,FFN Linear 1,Feed Forward Network,352,2.772346844995809,0.00787598535510173,0.0035699139998541796,0.04274710200024856
ff.gelu,GELU Activation,Feed Forward Network,352,0.09321401299530407,0.00026481253691847746,0.00016831599987199297,0.0065431089997218805
ff.linear2,FFN Linear 2,Feed Forward Network,352,2.710197045982568,0.007699423426086841,0.00351948400020774,0.04213211099977343
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.29708537200076535,0.027007761090978667,0.009235481999894546,0.11838463000003685
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.17981041100483708,0.0005619075343901159,0.00040696499945624964,0.0012825550002162345
