name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.11338347285345662,0.00032211213878822906,0.0001829739921959117,0.0016083980008261278
attn.q_proj,Q Projection,Self-Attention,352,0.429982550063869,0.0012215413354087186,0.0009114139975281432,0.009014747003675438
attn.k_proj,K Projection,Self-Attention,352,0.4341391798952827,0.0012333499428843259,0.0009625490056350827,0.008451424990198575
attn.v_proj,V Projection,Self-Attention,352,0.4324563417030731,0.0012285691525655486,0.0009514130069874227,0.008410241003730334
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.5675764310581144,0.001612433042778734,0.0004387789958855137,0.1618209250009386
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.36114626011112705,0.00102598369349752,0.00022658899251837283,0.01832564899814315
attn.softmax,Softmax,Self-Attention,352,1.246452233986929,0.003541057482917412,0.0001423659996362403,0.2191035389987519
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.4555045211018296,0.0012940469349483794,0.00032953200570773333,0.01253979399916716
attn.out_projection,Output Projection,Self-Attention,352,0.38829498492123093,0.0011031107526171334,0.0009048219944816083,0.0029132470081094652
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.1167112339171581,0.0003315660054464719,0.0002618529979372397,0.0008843739924486727
ff.linear1,FFN Linear 1,Feed Forward Network,352,1.2846696780034108,0.0036496297670551444,0.0030066210019867867,0.010349546995712444
ff.gelu,GELU Activation,Feed Forward Network,352,0.09014707097958308,0.00025609963346472466,0.00016534198948647827,0.001195090007968247
ff.linear2,FFN Linear 2,Feed Forward Network,352,1.6080404510139488,0.004568296735835082,0.0029426219989545643,0.020856628005276434
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.20882215797610115,0.018983832543281922,0.0075044260011054575,0.07086252199951559
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.3498809579614317,0.001093377993629474,0.0010202440025750548,0.0015331030008383095
