name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.1236992269887196,0.00035141825849068067,0.0002627769999890006,0.0019876579999618116
attn.q_proj,Q Projection,Self-Attention,352,0.4896350940061893,0.0013910087897903106,0.0009606780004105531,0.012119250999603537
attn.k_proj,K Projection,Self-Attention,352,0.4931771429910441,0.0014010714289518298,0.0009715900005176081,0.012139443000705796
attn.v_proj,V Projection,Self-Attention,352,0.4927444960057983,0.0013998423181982905,0.0009698619996925117,0.012119667000661138
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,1.827734510998198,0.005192427588063062,0.0004477319998841267,0.6455165449997367
attn.apply_causal_mask,Causal Mask,Self-Attention,352,2.683730041002491,0.007624233071029804,0.0004042450000270037,0.6996238299998367
attn.softmax,Softmax,Self-Attention,352,2.654296967002665,0.007540616383530299,9.458999920752831e-05,0.7116638890001923
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,1.521711692000281,0.004323044579546253,0.0003563740001482074,0.048768326000754314
attn.out_projection,Output Projection,Self-Attention,352,0.4415236820068458,0.0012543286420649028,0.000823368999590457,0.004669567999371793
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.12726804199610342,0.00036155693748893015,0.0001467160000174772,0.0013346189998628688
ff.linear1,FFN Linear 1,Feed Forward Network,352,1.6979515789889774,0.0048237260766732315,0.0029719189997194917,0.02619678499922884
ff.gelu,GELU Activation,Feed Forward Network,352,0.11378888399394782,0.00032326387498280633,9.170899920718512e-05,0.0023059839995767106
ff.linear2,FFN Linear 2,Feed Forward Network,352,1.4781490410086917,0.004199287048320147,0.002867633999812824,0.016978798000309325
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.21149593600057415,0.01922690327277947,0.0074494919999779086,0.13601061100052902
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.6405739299934794,0.002001793531229623,0.0018936440001198207,0.002516315000320901
