name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.1455924421607051,0.00041361489250200316,0.0002528260229155421,0.004270876990631223
attn.q_proj,Attn Q Proj,352,2.565002854069462,0.007286939926333699,0.00043544601066969335,0.0963433750148397
attn.k_proj,Attn K Proj,352,0.7043517543061171,0.002000999302006014,0.00027935300022363663,0.01986837000004016
attn.v_proj,Attn V Proj,352,0.6979186040407512,0.0019827233069339523,0.0002716739836614579,0.019819890992948785
attn.gqa_expand,Attn Gqa Expand,352,0.23831080945092253,0.00067701934503103,0.00037864799378439784,0.004424153012223542
attn.matmul_qk,QKᵀ MatMul,352,13.346107486024266,0.03791507808529621,0.0010736389958765358,2.653774794016499
attn.apply_causal_mask,Causal Mask,352,8.994997813773807,0.025553971061857406,0.0003049850056413561,0.3860791710030753
attn.softmax,Softmax,352,6.207495886046672,0.017634931494450775,0.00015439599519595504,0.19911509298253804
attn.weighted_sum,Attention Weighted Sum,352,8.337596258934354,0.023686353008336235,0.0007981569797266275,0.25611685201874934
attn.out_projection,Output Projection,352,2.5533567081438377,0.007253854284499539,0.00045157401473261416,0.07701375900069252
block.norm2,LayerNorm (Pre-FFN),352,0.14693877965328284,0.00041743971492409895,0.00026802500360645354,0.0018653970037121326
ff.swiglu,Ff Swiglu,352,32.69832641098765,0.09289297275848764,0.003105848008999601,0.9966231429716572
model.output_head,Output Head Projection,11,0.7599204059515614,0.06908367326832376,0.0025696679949760437,0.7340976480045356
attn.cache_concat,KV Cache Concat,320,0.9092604106699582,0.0028414387833436195,0.002784351003356278,0.0030927599873393774
