name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.11324396495183464,0.00032171580952225753,0.00026815499586518854,0.0010175140050705522
attn.q_proj,Q Projection,Self-Attention,352,0.4256559881323483,0.0012092499662850803,0.0009582839993527159,0.006151391004095785
attn.k_proj,K Projection,Self-Attention,352,0.22023745608748868,0.0006256745911576382,0.0005096540116937831,0.002072884002700448
attn.v_proj,V Projection,Self-Attention,352,0.21759431003010832,0.0006181656534946259,0.0005029650055803359,0.0020537169912131503
attn.gqa_expand,GQA Expand,Self-Attention,352,0.1637237902614288,0.0004651244041517864,0.00039394300256390125,0.0015689590072724968
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.5685149469645694,0.001615099281149345,0.00044872600119560957,0.16219986700161826
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.3605321129143704,0.0010242389571430977,0.00014966100570745766,0.018607898004120216
attn.softmax,Softmax,Self-Attention,352,1.2363844580686418,0.0035124558467859142,9.180601045954973e-05,0.21387171300011687
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.45806330295454245,0.0013013162015754046,0.00024105100601445884,0.012764660990796983
attn.out_projection,Output Projection,Self-Attention,352,0.3911272280092817,0.001111156897753641,0.0008600459987064824,0.0031776929972693324
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.11860352312214673,0.0003369418270515532,0.0002826819982146844,0.0013459239999065176
ff.w1_gate,Ff W1 Gate,Feed Forward Network,352,1.2811185580067104,0.003639541357973609,0.003012608998687938,0.010620225002639927
ff.w2_up,Ff W2 Up,Feed Forward Network,352,1.285336003973498,0.0036515227385610738,0.00301747300545685,0.010592033999273553
ff.swiglu_act,Ff Swiglu Act,Feed Forward Network,352,0.15197421607444994,0.00043174493202968733,0.0002655949938343838,0.0029560340044554323
ff.w3_down,Ff W3 Down,Feed Forward Network,352,1.6021781400922919,0.004551642443444011,0.0029410900024231523,0.021174403998884372
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.14547592501912732,0.013225084092647938,0.00745097899925895,0.07066706199839246
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.3398033649864374,0.0010618855155826168,0.001030729996273294,0.0012511740060290322
