name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.1038067619811045,0.00029490557380995597,0.00016962799418251961,0.0005586440092884004
attn.q_proj,Q Projection,Self-Attention,352,0.40051056393713225,0.0011378141020941257,0.0009275650081690401,0.0038576160004595295
attn.k_proj,K Projection,Self-Attention,352,0.2034670298016863,0.0005780313346638815,0.0004345829947851598,0.0012574459979077801
attn.v_proj,V Projection,Self-Attention,352,0.19888119788083714,0.00056500340307056,0.00040655198972672224,0.0012539899908006191
attn.gqa_expand,GQA Expand,Self-Attention,352,0.150014181053848,0.0004261766507211591,0.00033096900733653456,0.000706481994711794
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.21704490204865579,0.0006166048353654994,0.0004160550015512854,0.00386625700048171
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.16277611680561677,0.0004624321500159567,0.00018959598673973233,0.003563510996173136
attn.softmax,Softmax,Self-Attention,352,0.11092612695938442,0.0003151310424982512,0.0001306850026594475,0.002865924994694069
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.2025216449983418,0.0005753455823816529,0.0002574989921413362,0.004705567000200972
attn.out_projection,Output Projection,Self-Attention,352,0.3759611361019779,0.0010680714093806191,0.0009123649942921475,0.0031915180006762967
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.1099926399620017,0.0003124790908011412,0.00018732500029727817,0.0005759559862781316
ff.w1_gate,Ff W1 Gate,Feed Forward Network,352,1.2807178028742783,0.003638402849074654,0.0030144660122459754,0.011099770999862812
ff.w2_up,Ff W2 Up,Feed Forward Network,352,1.2823328870144906,0.003642991156291166,0.003027618004125543,0.010403816995676607
ff.swiglu_act,Ff Swiglu Act,Feed Forward Network,352,0.12449265690520406,0.0003536723207534206,0.000240762994508259,0.0013115570036461577
ff.w3_down,Ff W3 Down,Feed Forward Network,352,1.4385954878962366,0.004086918999705217,0.002949891990283504,0.03356887500558514
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.30885473896341864,0.028077703542128966,0.008196630995371379,0.10781018898705952
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.20728821591183078,0.0006477756747244711,0.0006006909970892593,0.0007116329943528399
