name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.11885508799696254,0.0003376564999913708,0.000260077000120873,0.006605860000036046
attn.q_proj,Attn Q Proj,352,0.7858965159998661,0.0022326605568178015,0.0011385749999135442,0.23706439300008242
attn.k_proj,Attn K Proj,352,0.2234576040009415,0.0006348227386390383,0.0005041240001446567,0.0017999019999024313
attn.v_proj,Attn V Proj,352,0.21727090299873453,0.0006172468835191322,0.0004851489998145553,0.0017010940000545816
attn.gqa_expand,Attn Gqa Expand,352,0.15036164200159874,0.00042716375568636005,0.0003422160000354779,0.0018245090000164055
attn.matmul_qk,QKᵀ MatMul,352,0.251922385998796,0.0007156885965874886,0.0004042909999952826,0.024057933999984016
attn.apply_causal_mask,Causal Mask,352,0.1753811370024323,0.0004982418664841827,0.0003042349999304861,0.0032042489999639656
attn.softmax,Softmax,352,0.5671263540007203,0.0016111544147747736,0.00015931699999782722,0.02560014300001967
attn.weighted_sum,Attention Weighted Sum,352,0.23609788799944909,0.0006707326363620713,0.000309322000020984,0.011369424999884359
attn.out_projection,Output Projection,352,0.7527139550018092,0.002138391917618776,0.0010426769999867247,0.012855364999950325
block.norm2,LayerNorm (Pre-FFN),352,0.12153824299821281,0.0003452790994267409,0.00026762900006360724,0.0010593169999992824
ff.swiglu,Ff Swiglu,352,6.7264661690016965,0.019109278889209366,0.010709229999974923,0.09486505000018042
model.output_head,Output Head Projection,11,0.2761570699999538,0.025105188181813985,0.009339181999848734,0.1061046960001022
attn.cache_concat,KV Cache Concat,320,0.15402110500031085,0.00048131595312597144,0.00039520500013168203,0.0008898569999473693
