name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.11119912499975726,0.00031590660511294675,0.00026781200006098516,0.001110671999981605
attn.qkv_projection,QKV Projection,352,1.0088200840018544,0.002865966147732541,0.0022939540000379566,0.019037397999909444
attn.matmul_qk,QKᵀ MatMul,352,0.5727536380013589,0.0016271410170493152,0.00043507899999895017,0.16230957099992338
attn.apply_causal_mask,Causal Mask,32,0.4106515019999506,0.012832859437498456,0.011827564999975948,0.02553822900006253
attn.softmax,Softmax,352,1.3983481079994817,0.003972579852271255,0.00016896199997518124,0.21848955999996633
attn.weighted_sum,Attention Weighted Sum,352,0.5510826760007603,0.0015655757840930692,0.00033798899994508247,0.10250524200000655
attn.out_projection,Output Projection,352,0.39215679799974623,0.001114081812499279,0.0009009089999381104,0.003323376000025746
block.norm2,LayerNorm (Pre-FFN),352,0.11533855100083201,0.00032766633807054547,0.00014870600000449485,0.0008920770000031553
ff.linear1,FFN Linear 1,352,1.277401415998952,0.003628981295451568,0.002918217999990702,0.010066739000080815
ff.gelu,GELU Activation,352,0.10187365000081172,0.00028941377841139695,0.00020182700006898813,0.0018803799999886905
ff.linear2,FFN Linear 2,352,1.5998728070002244,0.004545093201705183,0.002935627000056229,0.020755598999926406
model.output_head,Output Head Projection,11,0.14695379699992372,0.013359436090902156,0.007492365999951289,0.07183871400002317
attn.cache_concat,KV Cache Concat,320,0.3492650020000383,0.0010914531312501198,0.0009879829999590584,0.0013961160000235395
