name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.10983252200730931,0.00031202421024803783,0.00026655399960873183,0.0010475609997229185
attn.qkv_projection,QKV Projection,352,0.9633186069972908,0.002736700588060485,0.002306477999809431,0.014648580000084621
attn.matmul_qk,QKᵀ MatMul,352,0.27783057499891584,0.00078929140624692,0.0002998659997501818,0.009470132000387821
attn.apply_causal_mask,Causal Mask,32,0.22385982699915985,0.006995619593723745,0.0062299470000652946,0.01261547200010682
attn.softmax,Softmax,352,0.7736366979984268,0.0021978315284046216,9.452599988435395e-05,0.12140263299988874
attn.weighted_sum,Attention Weighted Sum,352,0.295347912995112,0.0008390565710088408,0.00021340400007829885,0.01224236000007295
attn.out_projection,Output Projection,352,0.38447482900346586,0.0010922580369416644,0.0009072120001292205,0.005036724000092363
block.norm2,LayerNorm (Pre-FFN),352,0.11122187700129871,0.00031597124148096225,0.0002706820000639709,0.0008131340000545606
ff.linear1,FFN Linear 1,352,1.2227800789928551,0.0034738070425933383,0.0029844159998901887,0.0099305710000408
ff.gelu,GELU Activation,352,0.09569110099482714,0.00027184971873530435,0.0002030989999184385,0.000991338999938307
ff.linear2,FFN Linear 2,352,1.4474529779977274,0.00411208232385718,0.002933536999989883,0.02030321099982757
model.output_head,Output Head Projection,11,0.12538867199918968,0.011398970181744517,0.007365922999724717,0.0507811499996933
attn.cache_concat,KV Cache Concat,320,0.26758687400297276,0.0008362089812592899,0.0007602400000905618,0.0011830469998130866
