name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.10101127099596852,0.0002869638380567287,0.0001848880001489306,0.002392511999914859
attn.qkv_projection,QKV Projection,352,1.9571914519965503,0.005560202988626564,0.0028129439997428562,0.20021154999994906
attn.matmul_qk,QKᵀ MatMul,352,0.17964641600156028,0.000510359136368069,0.000328626999817061,0.01535509900031684
attn.apply_causal_mask,Causal Mask,32,0.008743173000766546,0.0002732241562739546,0.00021410400040622335,0.0013049070003035013
attn.softmax,Softmax,352,0.07648109000410841,0.000217275823875308,9.420400010640151e-05,0.012286132000099315
attn.weighted_sum,Attention Weighted Sum,352,0.13499148799473915,0.00038349854543959986,0.00022600699958275072,0.009330219000275974
attn.out_projection,Output Projection,352,0.5125225640017561,0.0014560300113686253,0.0010862609997275285,0.009375240000281337
block.norm2,LayerNorm (Pre-FFN),352,0.10019019599758394,0.0002846312386294998,0.00018357699991611298,0.000394224000046961
ff.linear1,FFN Linear 1,352,2.358425189006084,0.006700071559676376,0.003680333999909635,0.03142392400013705
ff.gelu,GELU Activation,352,0.09731177799540092,0.0002764539147596617,0.00010725899983299314,0.0075741280002148414
ff.linear2,FFN Linear 2,352,2.303956572998686,0.006545331173291722,0.0036155679999865242,0.029789013000026898
model.output_head,Output Head Projection,11,0.18599889200004327,0.016908990181822115,0.00926024000000325,0.08025141799998892
attn.cache_concat,KV Cache Concat,320,0.10699273999716752,0.0003343523124911485,0.00028632400017158943,0.0005215159999352181
