name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.10072154300314651,0.00028614074716802986,0.00019253700020271936,0.00038142499988680356
attn.qkv_projection,QKV Projection,352,1.0864820929959933,0.003086596855102254,0.0028178460001981875,0.005006307000257948
attn.matmul_qk,QKᵀ MatMul,352,0.1544796299981499,0.0004388625852220168,0.0003593139999793493,0.0007352370002990938
attn.apply_causal_mask,Causal Mask,32,0.011886271997809672,0.00037144599993155225,0.0003351870000187773,0.000413360000038665
attn.softmax,Softmax,352,0.06752847399638995,0.00019184225567156236,0.00012185199966552318,0.0003798260004259646
attn.weighted_sum,Attention Weighted Sum,352,0.1259103329998652,0.000357699809658708,0.0002202480000050855,0.0006371919998855446
attn.out_projection,Output Projection,352,0.4219443309984854,0.0011987054857911517,0.0010745519998636155,0.002053427000191732
block.norm2,LayerNorm (Pre-FFN),352,0.10278804099380068,0.00029201148009602463,0.00021384800038504181,0.00037928099982309504
ff.linear1,FFN Linear 1,352,1.4175895729931653,0.00402724310509422,0.00368792500012205,0.006486250999842014
ff.gelu,GELU Activation,352,0.07932193500300855,0.000225346406258547,0.00018287300008523744,0.00029832500013071694
ff.linear2,FFN Linear 2,352,1.4573246749991995,0.004140126917611362,0.003578809999908117,0.00853887700031919
model.output_head,Output Head Projection,11,0.18301461299961375,0.016637692090873978,0.009260741000161943,0.08712327300008837
attn.cache_concat,KV Cache Concat,320,0.10740564800244101,0.00033564265000762816,0.00029688499989788397,0.0004132970002501679
