name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.10775890294462442,0.00030613324700177395,0.00017548500909470022,0.0011773550068028271
attn.q_proj,Q Projection,Self-Attention,352,0.4098421431117458,0.0011643242702038233,0.0009647200058680028,0.005413730003056116
attn.k_proj,K Projection,Self-Attention,352,0.411049732050742,0.0011677549205986988,0.0009726229909574613,0.0047316940035671
attn.v_proj,V Projection,Self-Attention,352,0.4114545658812858,0.0011689050167081984,0.0009727829892653972,0.004419922988745384
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.22121869887632784,0.0006284622127168404,0.00038252200465649366,0.005239557009190321
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.16846150906349067,0.00047858383256673483,0.00019788500503636897,0.004921066996757872
attn.softmax,Softmax,Self-Attention,352,0.11249119773856364,0.0003195772663027376,0.00013235000369604677,0.0037457589933183044
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.2032067980762804,0.000577292039989433,0.0002518030087230727,0.005983448994811624
attn.out_projection,Output Projection,Self-Attention,352,0.37987763494311366,0.0010791978265429366,0.0009082089964067563,0.004119288991205394
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.11209069505275693,0.00031843947458169583,0.00022700399858877063,0.0007267079927260056
ff.linear1,FFN Linear 1,Feed Forward Network,352,1.2912966520962073,0.0036684563980005887,0.003025131009053439,0.016174536998732947
ff.gelu,GELU Activation,Feed Forward Network,352,0.07951097491604742,0.0002258834514660438,0.00014066899893805385,0.000910000002477318
ff.linear2,FFN Linear 2,Feed Forward Network,352,1.4473205162212253,0.004111706011992117,0.002941644997918047,0.03392056599841453
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.19683448199066333,0.01789404381733303,0.00819134600169491,0.062175213010050356
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.2177903097763192,0.0006805947180509974,0.0006075099954614416,0.001007503000437282
