name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.11460610506765079,0.0003255855257603716,0.0002204120100941509,0.0064126619981834665
attn.q_proj,Q Projection,Self-Attention,352,0.7630675538093783,0.0021678055505948246,0.0011244930065004155,0.24532826799259055
attn.k_proj,K Projection,Self-Attention,352,0.7868746931781061,0.002235439469255983,0.001142509005148895,0.012122582003939897
attn.v_proj,V Projection,Self-Attention,352,0.793145239164005,0.002253253520352287,0.001144524008850567,0.012238741008332
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.27451839207788,0.0007798817956757954,0.00041720899753272533,0.0276585779938614
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.1385590601421427,0.00039363369358563267,0.00026255499687977135,0.0024450159980915487
attn.softmax,Softmax,Self-Attention,352,0.5792429759458173,0.0016455766362097083,0.00016674998914822936,0.025581238005543128
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.18605701181513723,0.0005285710562930035,0.0003261709935031831,0.003026701000635512
attn.out_projection,Output Projection,Self-Attention,352,0.777847190038301,0.002209793153517901,0.0010804619960254058,0.012438449004548602
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.11784422505297698,0.00033478473026413917,0.0002801869995892048,0.000745907993405126
ff.linear1,FFN Linear 1,Feed Forward Network,352,2.6909679058153415,0.007644795186975402,0.003705249007907696,0.0418531589966733
ff.gelu,GELU Activation,Feed Forward Network,352,0.08865064606652595,0.0002518484263253578,0.00017260501044802368,0.008738222008105367
ff.linear2,FFN Linear 2,Feed Forward Network,352,2.632612663001055,0.007479013247162088,0.00362419500015676,0.04121332800423261
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.3645612949767383,0.03314193590697621,0.009248549002222717,0.11969713598955423
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.16045288980240002,0.0005014152806325,0.00040098599856719375,0.0019062399951508269
