name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.11260774784022942,0.0003199083745461063,0.00017970899352803826,0.002115801995387301
attn.q_proj,Q Projection,Self-Attention,352,0.42247421204228885,0.0012002108296655933,0.0009151830017799512,0.008428522007307038
attn.k_proj,K Projection,Self-Attention,352,0.4288345530803781,0.0012182799803419832,0.0009621909994166344,0.008349259005626664
attn.v_proj,V Projection,Self-Attention,352,0.4278715231048409,0.0012155440997296616,0.0009629910055082291,0.009545270004309714
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.5672707581688883,0.001611564653888887,0.0004355440032668412,0.1637849249964347
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.3574739470059285,0.0010155509858122969,0.00022665200231131166,0.01827570699970238
attn.softmax,Softmax,Self-Attention,352,1.2451655288605252,0.0035374020706264923,0.0001434540026821196,0.21971672899962869
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.4536292241537012,0.0012887193868002876,0.00032965799618978053,0.012558015994727612
attn.out_projection,Output Projection,Self-Attention,352,0.38364747997547965,0.0010899076135667035,0.0008980319980764762,0.003412738995393738
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.11654417002864648,0.0003310913921268366,0.00027605899958871305,0.0012404900044202805
ff.linear1,FFN Linear 1,Feed Forward Network,352,1.27952878002543,0.0036350249432540627,0.003008425992447883,0.010487109000678174
ff.gelu,GELU Activation,Feed Forward Network,352,0.09017025509092491,0.00025616549741740033,0.0001701729925116524,0.001570148000610061
ff.linear2,FFN Linear 2,Feed Forward Network,352,1.6009529400762403,0.004548161761580228,0.002938763005658984,0.021149480002350174
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.20895124701200984,0.018995567910182712,0.007490265998058021,0.07091937499353662
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.3445678229763871,0.0010767744468012097,0.0010109580034622923,0.0014067269949009642
