name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.14844347783946432,0.00042171442568029636,0.0002489220059942454,0.0038001420034561306
attn.q_proj,Attn Q Proj,352,2.5851838232483715,0.007344272225137419,0.00045854999916628003,0.11437066501821391
attn.k_proj,Attn K Proj,352,2.548756714182673,0.007240786119837139,0.00046773298527114093,0.07477917097276077
attn.v_proj,Attn V Proj,352,2.547785340779228,0.0072380265363046255,0.0004410459951031953,0.07476051500998437
attn.matmul_qk,QKᵀ MatMul,352,16.078097843914293,0.045676414329301966,0.0010840400063898414,5.328096885990817
attn.apply_causal_mask,Causal Mask,352,8.838109376840293,0.02510826527511447,0.00029781798366457224,0.3937357140239328
attn.softmax,Softmax,352,6.220490281353705,0.017671847390209387,0.0001520609948784113,0.21093460702104494
attn.weighted_sum,Attention Weighted Sum,352,8.385121806990355,0.023821368769858964,0.0008075980003923178,0.2557584620080888
attn.out_projection,Output Projection,352,2.5527382789878175,0.007252097383488118,0.00047806999646127224,0.07468025499838404
block.norm2,LayerNorm (Pre-FFN),352,0.15044499654322863,0.00042740055836144495,0.0002523460134398192,0.0022071840066928416
ff.linear1,FFN Linear 1,352,9.871421059127897,0.02804380982706789,0.0011906939907930791,0.2957016870204825
ff.gelu,GELU Activation,352,0.2136735139938537,0.0006070270283916299,0.00013961302465759218,0.004957236000336707
ff.linear2,FFN Linear 2,352,12.714356371870963,0.03612033060190614,0.0011379909992683679,0.3865380249917507
model.output_head,Output Head Projection,11,0.7565266940218862,0.06877515400198965,0.0025861509784590453,0.7281602819857653
attn.cache_concat,KV Cache Concat,320,1.0503904899815097,0.003282470281192218,0.0027948510251007974,0.005120079003972933
