name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.10983846304588951,0.00031204108819854974,0.00014594898675568402,0.0016142720123752952
attn.q_proj,Attn Q Proj,352,0.8363525448658038,0.0023760015479142153,0.0003695290070027113,0.05102587299188599
attn.k_proj,Attn K Proj,352,0.2638794937520288,0.0007496576527046273,0.00018137198640033603,0.0070184860087465495
attn.v_proj,Attn V Proj,352,0.2593433502188418,0.0007367708813035279,0.0001899799972306937,0.005649008002365008
attn.gqa_expand,Attn Gqa Expand,352,0.15381139086093754,0.0004369641785822089,0.0002250509860459715,0.001434116013115272
attn.matmul_qk,QKᵀ MatMul,352,1.5283860001072753,0.004342005682122941,0.0004127910069655627,0.331212308985414
attn.apply_causal_mask,Causal Mask,352,0.8819607861805707,0.0025055704152857124,0.00019388401415199041,0.028463886003009975
attn.softmax,Softmax,352,0.9576059408427682,0.0027204714228487733,9.884600876830518e-05,0.029056642000796273
attn.weighted_sum,Attention Weighted Sum,352,0.6639879962021951,0.001886329534665327,0.00031954600126482546,0.01708695897832513
attn.out_projection,Output Projection,352,0.810951285995543,0.0023038388806691564,0.0004588390002027154,0.019585469010053203
block.norm2,LayerNorm (Pre-FFN),352,0.11358693387592211,0.0003226901530565969,0.00017404500977136195,0.001264743012143299
ff.swiglu,Ff Swiglu,352,11.213652730948525,0.031856967985649215,0.0031209619774017483,0.31076682201819494
model.output_head,Output Head Projection,11,0.22233362292172387,0.020212147538338533,0.0035516419738996774,0.18268643799819984
attn.cache_concat,KV Cache Concat,320,0.6269185263372492,0.001959120394803904,0.0008284960058517754,0.02311221498530358
