name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,32,0.09030332699876453,0.0028219789687113916,0.001567516999784857,0.037217627999780234
attn.q_proj,Q Projection,Self-Attention,32,0.541614503999881,0.01692545324999628,0.009391533999860258,0.2460139870004241
attn.k_proj,K Projection,Self-Attention,32,0.12993964899987986,0.004060614031246246,0.0036211780002304295,0.01307929399990826
attn.v_proj,V Projection,Self-Attention,32,0.12729393399922628,0.003977935437475821,0.0036068439999326074,0.01172562099964125
attn.gqa_expand,GQA Expand,Self-Attention,32,0.10197479399948861,0.003186712312484019,0.002487523000127112,0.021282740000060585
attn.matmul_qk,QKᵀ MatMul,Self-Attention,32,5.935847651999666,0.18549523912498955,0.10677626200003942,2.5483436949998577
attn.apply_causal_mask,Causal Mask,Self-Attention,32,3.7284491189993787,0.11651403496873058,0.11469106599997758,0.13780041400013943
attn.softmax,Softmax,Self-Attention,32,11.046422957000686,0.34520071740627145,0.19348639400004686,2.786495520999779
attn.weighted_sum,Attention Weighted Sum,Self-Attention,32,6.494250898999326,0.20294534059372893,0.16190403700011302,1.4192654180001227
attn.out_projection,Output Projection,Self-Attention,32,0.2624129200007701,0.008200403750024066,0.008043045999784226,0.008652539999729925
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,32,0.05611484999917593,0.0017535890624742478,0.0015807640002094558,0.0022267379999902914
ff.w1_gate,Ff W1 Gate,Feed Forward Network,32,1.0694681780000792,0.033420880562502475,0.03320727599975726,0.034416150000197376
ff.w2_up,Ff W2 Up,Feed Forward Network,32,1.0744239270029539,0.03357574771884231,0.033358299000155966,0.03479097199988246
ff.swiglu_act,Ff Swiglu Act,Feed Forward Network,32,0.23197281900093003,0.0072491505937790635,0.0067832179997822095,0.015852400999847305
ff.w3_down,Ff W3 Down,Feed Forward Network,32,1.025907028000347,0.032059594625010845,0.03161159699993732,0.03365891599969473
model.output_head,Output Head Projection,Output Head / Extra Proj,1,0.27126540000017485,0.27126540000017485,0.27126540000017485,0.27126540000017485
