name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.13086547888815403,0.0003717769286595285,0.0002574350219219923,0.002497454988770187
attn.q_proj,Attn Q Proj,352,1.3998459675931372,0.003976835135207776,0.00045205498463474214,0.07116771000437438
attn.k_proj,Attn K Proj,352,0.4084841229196172,0.0011604662582943672,0.000282075023278594,0.010309492005035281
attn.v_proj,Attn V Proj,352,0.40575355489272624,0.0011527089627634268,0.00027637899620458484,0.010238964983727783
attn.gqa_expand,Attn Gqa Expand,352,0.18560406798496842,0.0005272842840482058,0.0003782330022659153,0.002159766008844599
attn.matmul_qk,QKᵀ MatMul,352,4.751239133969648,0.01349783844877741,0.0006070279923733324,1.2820493479957804
attn.apply_causal_mask,Causal Mask,352,2.366309803677723,0.006722471033175349,0.0003041860181838274,0.08856230901437812
attn.softmax,Softmax,352,2.0131161028984934,0.005719079837779811,0.00015151698607951403,0.06671845298842527
attn.weighted_sum,Attention Weighted Sum,352,2.2256827316305134,0.006322962305768504,0.0004961180093232542,0.064795451995451
attn.out_projection,Output Projection,352,1.3725650410051458,0.0038993325028555278,0.00045595900155603886,0.03754690400091931
block.norm2,LayerNorm (Pre-FFN),352,0.12936062907101586,0.0003675017871335678,0.0002739780175033957,0.0013564850087277591
ff.swiglu,Ff Swiglu,352,17.057647564419312,0.04845922603528214,0.0031145300017669797,0.5014183819876052
model.output_head,Output Head Projection,11,0.3968515160086099,0.03607741054623726,0.0026554999931249768,0.3652997569879517
attn.cache_concat,KV Cache Concat,320,0.5709634700615425,0.0017842608439423203,0.0014664669870398939,0.002269491000333801
