name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.11062350501015317,0.0003142713210515715,0.00026587799948174506,0.0011187740019522607
attn.q_proj,Q Projection,Self-Attention,352,0.4644008957693586,0.0013193207266174961,0.000952444999711588,0.007815101998858154
attn.k_proj,K Projection,Self-Attention,352,0.2156457229721127,0.0006126298948071384,0.0005056770023657009,0.0026343019999330863
attn.v_proj,V Projection,Self-Attention,352,0.21050151209055912,0.0005980156593481793,0.0004759820003528148,0.002614270997582935
attn.gqa_expand,GQA Expand,Self-Attention,352,0.15621141697920393,0.0004437824346000112,0.00036024200380779803,0.0016691539931343868
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.5693992359301774,0.0016176114657107312,0.0004383199993753806,0.16390469099860638
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.3569248149578925,0.001013990951584922,0.0002648860099725425,0.01793043799989391
attn.softmax,Softmax,Self-Attention,352,1.232675494014984,0.003501919017088023,0.00016137000056914985,0.2093543619994307
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.455170036846539,0.0012930966955867586,0.00033224301296286285,0.012645608992897905
attn.out_projection,Output Projection,Self-Attention,352,0.4298523189063417,0.0012211713605293798,0.0008969269983936101,0.0034278409875696525
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.11619526313734241,0.00033010017936745004,0.00028037400625180453,0.0007148529984988272
ff.w1_gate,Ff W1 Gate,Feed Forward Network,352,1.3238857310352614,0.0037610390086229017,0.003023887999006547,0.009982349001802504
ff.w2_up,Ff W2 Up,Feed Forward Network,352,1.3268170571536757,0.003769366639641124,0.0030223829962778836,0.010023499999078922
ff.swiglu_act,Ff Swiglu Act,Feed Forward Network,352,0.15176597799290903,0.0004311533465707643,0.00026667800557333976,0.0023432410089299083
ff.w3_down,Ff W3 Down,Feed Forward Network,352,1.643560733020422,0.004669206627898926,0.002943826009868644,0.02073567699699197
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.1475900660007028,0.013417278727336618,0.007513640011893585,0.07115297199925408
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.3803857209859416,0.0011887053780810675,0.0010262979922117665,0.0013183190021663904
