name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.12436066200461937,0.00035329733524039597,0.0002639939993969165,0.007749995999802195
attn.q_proj,Q Projection,Self-Attention,352,0.7920778460002111,0.002250221153409691,0.0011310140007481095,0.24464910000006057
attn.k_proj,K Projection,Self-Attention,352,0.228608244003226,0.0006494552386455284,0.00047160500071186107,0.0015498200000365614
attn.v_proj,V Projection,Self-Attention,352,0.22559791299045173,0.0006409031619046924,0.00048034099927463103,0.0020812960001421743
attn.gqa_expand,GQA Expand,Self-Attention,352,0.16026845500527998,0.0004553081108104545,0.00034143199991376605,0.0018297169999641483
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.2758858010147378,0.0007837664801555052,0.00039797499994165264,0.04566947000057553
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.17462490899924887,0.0004960934914751389,0.00030226499984564725,0.003126614999928279
attn.softmax,Softmax,Self-Attention,352,0.5529645939959664,0.0015709221420339954,0.00015474900010303827,0.025060443000256782
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.23877712300327403,0.0006783440994411194,0.0003166329997839057,0.01195527499930904
attn.out_projection,Output Projection,Self-Attention,352,0.7471320289942014,0.002122534173278981,0.001088551000066218,0.013167373999749543
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.12139408500479476,0.0003448695596727124,0.00027273000068817055,0.0010945029998765676
ff.swiglu,SwiGLU Activation,Feed Forward Network,352,6.757627818989931,0.01919780630394867,0.010606155000459694,0.09613889000047493
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.2783449210000981,0.025304083727281646,0.009265257999686582,0.11017040900060238
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.15503161099877616,0.0004844737843711755,0.0003941670001950115,0.0009388910002599005
