name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.15307591100054196,0.0004348747471606306,0.00027183199995306495,0.00472849499988115
attn.q_proj,Attn Q Proj,352,0.6608640190017923,0.0018774545994369098,0.0009573790000558802,0.024871910000001662
attn.k_proj,Attn K Proj,352,0.30633586399881096,0.000870272340905713,0.0005266399998617999,0.0051215389999015315
attn.v_proj,Attn V Proj,352,0.2989119540015963,0.000849181687504535,0.0005082400000446796,0.004469174999940151
attn.gqa_expand,Attn Gqa Expand,352,0.22076419299924055,0.0006271710028387515,0.0003960189999361319,0.003201149999995323
attn.matmul_qk,QKᵀ MatMul,352,6.308604158999287,0.017922170906247977,0.000638092999906803,2.5401455310000074
attn.apply_causal_mask,Causal Mask,352,6.005520927998532,0.01706113899999583,0.00030933500011087744,0.22234803999981523
attn.softmax,Softmax,352,8.868885774000546,0.02519569822159246,0.00016002799998204864,2.8110608730000877
attn.weighted_sum,Attention Weighted Sum,352,5.4487797479971505,0.01547948792044645,0.0006053900001461443,0.18981646399993224
attn.out_projection,Output Projection,352,0.5812048629993569,0.001651150178975446,0.0009118759999182657,0.008456188999844017
block.norm2,LayerNorm (Pre-FFN),352,0.15514088300255935,0.0004407411448936345,0.00028632699991248955,0.0022245720001592417
ff.swiglu,Ff Swiglu,352,6.164839601001177,0.017513748866480616,0.008566715999904773,0.1128226599998925
model.output_head,Output Head Projection,11,0.3465912760000265,0.031508297818184226,0.007465628000090874,0.27105965299983836
attn.cache_concat,KV Cache Concat,320,1.1864836849993026,0.0037077615156228204,0.0035976819999632426,0.0039418650001152855
