name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.10850150899960909,0.000308242923294344,0.0001847049999810224,0.0011710730000231706
attn.q_proj,Q Projection,Self-Attention,352,0.4162163509993775,0.0011824328153391406,0.0009607050000113304,0.005413189000023522
attn.k_proj,K Projection,Self-Attention,352,0.20599695600054702,0.0005852186250015541,0.00043715199996086085,0.0020848660000183372
attn.v_proj,V Projection,Self-Attention,352,0.19963498699996762,0.0005671448494317262,0.0004178890000048341,0.0020807699999636498
attn.gqa_expand,GQA Expand,Self-Attention,352,0.15159427499986577,0.00043066555397689143,0.00032278399999086105,0.0018355219999648398
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.22279842699958863,0.0006329500767033768,0.00038499200002206635,0.0057980849999808015
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.26613685399951237,0.0007560706079531601,0.0002959359999863409,0.00888960899999347
attn.softmax,Softmax,Self-Attention,352,0.12228577500036408,0.00034740276988739794,0.00011807999999291496,0.00428365200002645
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.20461719700045933,0.0005812988551149413,0.00025132899997970526,0.005960197999968386
attn.out_projection,Output Projection,Self-Attention,352,0.387710957999559,0.00110145158522602,0.0009092800000303214,0.0040626920000477185
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.1132065369989732,0.00032160948011071935,0.00019193600002154199,0.0011797770000043784
ff.w1_gate,Ff W1 Gate,Feed Forward Network,352,1.2929707830001576,0.003673212451704993,0.0030011229999900024,0.011157897999964916
ff.w2_up,Ff W2 Up,Feed Forward Network,352,1.2916992570005732,0.0036696001619334465,0.0030259549999982482,0.009172552999984873
ff.swiglu_act,Ff Swiglu Act,Feed Forward Network,352,0.12543541000047753,0.00035635059659226573,0.0002451199999882192,0.001448674000016581
ff.w3_down,Ff W3 Down,Feed Forward Network,352,1.4432035019998466,0.004100009948863201,0.002952865999986898,0.03373583999996299
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.2456140530000539,0.022328550272732173,0.008194215000003169,0.10798906200000147
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.21837064200013856,0.000682408256250433,0.0005995199999802026,0.0008536330000197268
