name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.1241732139751548,0.000352764812429417,0.00026648599305190146,0.001988214993616566
attn.q_proj,Q Projection,Self-Attention,352,0.48203975286742207,0.0013694311161006308,0.0009541090112179518,0.012108224007533863
attn.k_proj,K Projection,Self-Attention,352,0.24460312696464825,0.0006948952470586598,0.0005048450111644343,0.004700593999586999
attn.v_proj,V Projection,Self-Attention,352,0.2389052529615583,0.000678708105004427,0.0004993729962734506,0.004682611004682258
attn.gqa_expand,GQA Expand,Self-Attention,352,0.17720285106042866,0.0005034171905125814,0.0003813939983956516,0.0030380319949472323
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,1.8227007428940851,0.00517812711049456,0.00044007999531459063,0.647192062009708
attn.apply_causal_mask,Causal Mask,Self-Attention,352,1.084761405014433,0.003081708536972821,0.00027067799237556756,0.04076002800138667
attn.softmax,Softmax,Self-Attention,352,2.8982017048692796,0.008233527570651362,0.0001637700042920187,0.7092046500038123
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,1.5171086911286693,0.0043099678725246286,0.00041867200343403965,0.048840242001460865
attn.out_projection,Output Projection,Self-Attention,352,0.4355260269367136,0.0012372898492520273,0.0009060790034709498,0.004696657997556031
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.12932283389091026,0.00036739441446281324,0.00028325399034656584,0.0014234990085242316
ff.w1_gate,Ff W1 Gate,Feed Forward Network,352,1.6732490801077802,0.004753548523033466,0.003011249005794525,0.023097449986380525
ff.w2_up,Ff W2 Up,Feed Forward Network,352,1.6711891513114097,0.004747696452589232,0.0030172330007189885,0.023557432999950834
ff.swiglu_act,Ff Swiglu Act,Feed Forward Network,352,0.2066823851346271,0.0005871658668597361,0.0002472869964549318,0.004982471000403166
ff.w3_down,Ff W3 Down,Feed Forward Network,352,1.4755273548944388,0.004191839076404655,0.002942323000752367,0.01709063199814409
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.21179822098929435,0.019254383726299486,0.007496459002140909,0.13642558199353516
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.6166419160144869,0.0019270059875452716,0.0018862980068661273,0.0021826070005772635
