name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.11847417859826237,0.00033657437101779084,0.00019152299501001835,0.003429540025535971
attn.qkv_projection,QKV Projection,352,2.8873969424166717,0.008202832222774636,0.002714484988246113,0.20291720202658325
attn.matmul_qk,QKᵀ MatMul,352,0.28182330046547577,0.0008006343763223744,0.0003482300089672208,0.019235612999182194
attn.apply_causal_mask,Causal Mask,32,0.0847014719620347,0.0026469209988135844,0.0018889009952545166,0.0030473879887722433
attn.softmax,Softmax,352,0.5982359388144687,0.0016995339170865589,0.00011968304170295596,0.02267827303148806
attn.weighted_sum,Attention Weighted Sum,352,0.20181805203901604,0.0005733467387472047,0.00027437397511675954,0.0032196789979934692
attn.out_projection,Output Projection,352,1.0069626892218366,0.0028606894580165813,0.001035315974149853,0.013425512006506324
block.norm2,LayerNorm (Pre-FFN),352,0.11814072518609464,0.00033562706018776885,0.0002417639479972422,0.0010804689954966307
ff.linear1,FFN Linear 1,352,0.7407832048484124,0.0021044977410466263,0.0010606609866954386,0.003711688972543925
ff.gelu,GELU Activation,352,0.08565689920214936,0.00024334346364246977,0.0001757160061970353,0.005811667011585087
ff.linear2,FFN Linear 2,352,1.015196465945337,0.002884080869162889,0.0010205000289715827,0.013862449035514146
model.output_head,Output Head Projection,11,0.437208904128056,0.039746264011641455,0.0170994020299986,0.12682267901254818
attn.cache_concat,Attn Cache Concat,320,0.22896143572870642,0.0007155044866522075,0.00048346497351303697,0.0010389009839855134
