name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.13170366309350356,0.0003741581337883624,0.0002617260324768722,0.014346692012622952
attn.qkv_projection,QKV Projection,352,1.3784414383699186,0.003916026813550905,0.0023231799714267254,0.24804976704763249
attn.matmul_qk,QKᵀ MatMul,352,1.1410536672337912,0.003241629736459634,0.0004159960080869496,0.3317827740102075
attn.apply_causal_mask,Causal Mask,32,0.8665751038934104,0.027080471996669075,0.023734866990707815,0.053943150967825204
attn.softmax,Softmax,352,2.055802144750487,0.005840347002132065,0.00016140699153766036,0.3937961899791844
attn.weighted_sum,Attention Weighted Sum,352,2.6708162128343247,0.007587546059188422,0.0003820449928753078,0.21085891901748255
attn.out_projection,Output Projection,352,0.44811812276020646,0.0012730628487505865,0.0009161839843727648,0.005175762984436005
block.norm2,LayerNorm (Pre-FFN),352,0.11987843923270702,0.00034056374782019043,0.00027222197968512774,0.0009326960425823927
ff.linear1,FFN Linear 1,352,0.4784414279856719,0.0013592086022320225,0.0009635439491830766,0.0057806859840638936
ff.gelu,GELU Activation,352,0.0939231151714921,0.00026682703173719347,0.00019884598441421986,0.010088201030157506
ff.linear2,FFN Linear 2,352,0.44396293902536854,0.001261258349503888,0.0009021679870784283,0.0045695280423387885
model.output_head,Output Head Projection,11,0.1918799668783322,0.017443633352575653,0.007475006976164877,0.10330751998117194
attn.cache_concat,Attn Cache Concat,320,0.48793637281050906,0.0015248011650328408,0.0013758279965259135,0.0020007500424981117
